Name,Price,Rating,Spec1,Spec2,Spec3,Spec4,Spec5,Spec6,Brand
Samsung Galaxy S21 FE 5G,"₹39,999",4.7,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Exynos 2100, Octa Core, 2.9 GHz Processor","8 GB RAM, 128 GB inbuilt",4500 mAh Battery with 25W Fast Charging,"6.4 inches, 1080 x 2340 px, 120 Hz Display with Punch Hole",12 MP + 12 MP + 8 MP Triple Rear & 32 MP Front Camera,samsung
Samsung Galaxy S20 FE 5G,"₹29,750",4.35,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Snapdragon 865, Octa Core, 2.84 GHz Processor","8 GB RAM, 128 GB inbuilt",4500 mAh Battery with Fast Charging,"6.5 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole",12 MP + 12 MP + 8 MP Triple Rear & 32 MP Front Camera,samsung
Samsung Galaxy A16 5G (8GB RAM + 256GB),"₹20,499",4.15,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Dimensity 6300, Octa Core, 2.4 GHz Processor","8 GB RAM, 256 GB inbuilt",5000 mAh Battery with 25W Fast Charging,"6.7 inches, 1080 x 2340 px, 90 Hz Display with Water Drop Notch",50 MP + 5 MP + 2 MP Triple Rear & 13 MP Front Camera,samsung
Samsung Galaxy Z Flip 7 5G,"₹1,09,999",4.6,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC","Exynos 2500, Deca Core, 3.3 GHz Processor","12 GB RAM, 256 GB inbuilt",4300 mAh Battery with 25W Fast Charging,"6.9 inches, 1080 x 2520 px, 120 Hz Display with Punch Hole","Foldable Display, Dual Display",samsung
Samsung Galaxy A56 5G (8GB RAM + 256GB),"₹41,999",4.15,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Exynos 1580, Octa Core, 2.9 GHz Processor","8 GB RAM, 256 GB inbuilt",5000 mAh Battery with 45W Fast Charging,"6.7 inches, 1080 x 2340 px, 120 Hz Display with Punch Hole",50 MP + 12 MP + 5 MP Triple Rear & 12 MP Front Camera,samsung
Samsung Galaxy S26,"₹79,990",4,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC",Octa Core Processor,"12 GB RAM, 256 GB inbuilt",5000 mAh Battery with Fast Charging,"6.74 inches, 1800 x 3200 px, 144 Hz Display with Punch Hole",50 MP + 50 MP + 50 MP Triple Rear & 32 MP Front Camera,samsung
Samsung Galaxy M55s 5G (12GB RAM + 256GB),"₹34,990",4.45,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Snapdragon 7 Gen1, Octa Core, 2.4 GHz Processor","12 GB RAM, 256 GB inbuilt",5000 mAh Battery with 45W Fast Charging,"6.7 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole",50 MP + 8 MP + 2 MP Triple Rear & 50 MP Front Camera,samsung
Samsung Galaxy A06,"₹7,449",4.15,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi","Helio G85, Octa Core, 2 GHz Processor","4 GB RAM, 64 GB inbuilt",5000 mAh Battery with 25W Fast Charging,"6.74 inches, 720 x 1600 px Display with Water Drop Notch",50 MP + 2 MP Dual Rear & 8 MP Front Camera,samsung
Samsung Galaxy F15 5G,"₹11,398",4.35,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Dimensity 6100 Plus, Octa Core, 2.2 GHz Processor","4 GB RAM, 128 GB inbuilt",6000 mAh Battery with 25W Fast Charging,"6.45 inches, 1080 x 2340 px, 90 Hz Display with Water Drop Notch",50 MP + 5 MP + 2 MP Triple Rear & 13 MP Front Camera,samsung
Samsung Galaxy A75 5G,"₹44,999",4.05,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Snapdragon 778G+, Octa Core Processor","8 GB RAM, 128 GB inbuilt",5000 mAh Battery with 67W Fast Charging,"6.7 inches, 1080 x 2412 px, 120 Hz Display with Punch Hole",108 MP Quad Rear & 32 MP Front Camera,samsung
Samsung Galaxy M56 (8GB RAM + 256GB),"₹30,999",4.55,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Exynos 1480, Octa Core, 2.7 GHz Processor","8 GB RAM, 256 GB inbuilt",5000 mAh Battery with 45W Fast Charging,"6.74 inches, 1080 x 2340 px, 120 Hz Display with Punch Hole",50 MP + 8 MP + 2 MP Triple Rear & 12 MP Front Camera,samsung
Samsung Galaxy A26 (8GB RAM + 256GB),"₹25,895",4.55,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Exynos 1380, Octa Core, 2.4 GHz Processor","8 GB RAM, 256 GB inbuilt",5000 mAh Battery with 25W Fast Charging,"6.7 inches, 1080 x 2340 px, 120 Hz Display with Water Drop Notch",50 MP + 8 MP + 2 MP Triple Rear & 13 MP Front Camera,samsung
Samsung Galaxy A27 5G,"₹29,999",4.35,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC",Octa Core Processor,"6 GB RAM, 128 GB inbuilt",5500 mAh Battery with 25W Fast Charging,"6.74 inches, 1080 x 2340 px, 120 Hz Display with Water Drop Notch",50 MP + 8 MP + 2 MP Triple Rear & 13 MP Front Camera,samsung
Samsung Galaxy A36 5G (12GB RAM + 256GB),"₹36,999",4.7,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Snapdragon 6 Gen3, Octa Core, 2.4 GHz Processor","12 GB RAM, 256 GB inbuilt",5000 mAh Battery with 45W Fast Charging,"6.7 inches, 1080 x 2340 px, 120 Hz Display with Punch Hole",50 MP + 8 MP + 5 MP Triple Rear & 12 MP Front Camera,samsung
Samsung Galaxy S24 Ultra (12GB RAM + 1TB),"₹1,59,999",4.6,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC","Snapdragon 8 Gen3, Octa Core, 3.3 GHz Processor","12 GB RAM, 1 TB inbuilt",5000 mAh Battery with 45W Fast Charging,"6.8 inches, 1440 x 3120 px, 120 Hz Display with Punch Hole",200 MP Quad Rear & 12 MP Front Camera,samsung
Samsung Galaxy A15 5G,"₹17,990",4.75,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Dimensity 6100 Plus, Octa Core, 2.2 GHz Processor","8 GB RAM, 128 GB inbuilt",5000 mAh Battery with 25W Fast Charging,"6.5 inches, 1080 x 2340 px, 90 Hz Display with Water Drop Notch",50 MP + 5 MP + 2 MP Triple Rear & 13 MP Front Camera,samsung
Samsung Galaxy S23 (8GB RAM + 256GB),"₹52,000",4,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC","Snapdragon 8 Gen 2, Octa Core, 3.36 GHz Processor","8 GB RAM, 256 GB inbuilt",3900 mAh Battery with 25W Fast Charging,"6.1 inches, 1080 x 2340 px, 120 Hz Display with Punch Hole",50 MP + 12 MP + 10 MP Triple Rear & 12 MP Front Camera,samsung
