Name,Price,Rating,Spec1,Spec2,Spec3,Spec4,Spec5,Spec6,Brand
Xiaomi 14 Civi (12GB RAM + 512GB),"₹31,999",4,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC, IR Blaster","Snapdragon 8s Gen3, Octa Core, 3 GHz Processor","12 GB RAM, 512 GB inbuilt",4700 mAh Battery with 67W Fast Charging,"6.55 inches, 1236 x 2750 px, 120 Hz Display with Punch Hole",50 MP + 50 MP + 12 MP Triple Rear & 32 MP + 32 MP Dual Front Camera,xiaomi
Xiaomi Redmi 15C 5G,"₹12,990",4.45,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Snapdragon 4 Gen3, Octa Core Processor","8 GB RAM, 128 GB inbuilt",5500 mAh Battery with 33W Fast Charging,"6.74 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole",50 MP + 8 MP Dual Rear & 16 MP Front Camera,xiaomi
Xiaomi 15 Ultra,"₹1,09,999",4.7,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC, IR Blaster","Snapdragon 8 Elite, Octa Core, 4.32 GHz Processor","16 GB RAM, 512 GB inbuilt",5410 mAh Battery with 90W Fast Charging,"6.73 inches, 1440 x 3200 px, 120 Hz Display with Punch Hole",50 MP Quad Rear & 32 MP Front Camera,xiaomi
Xiaomi Redmi Note 13 5G,"₹15,440",4.5,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, IR Blaster","Dimensity 6080, Octa Core, 2.4 GHz Processor","6 GB RAM, 128 GB inbuilt",5000 mAh Battery with 33W Fast Charging,"6.67 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole",108 MP + 8 MP + 2 MP Triple Rear & 16 MP Front Camera,xiaomi
Xiaomi 15,"₹64,998",4.1,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC, IR Blaster","Snapdragon 8 Elite, Octa Core, 4.32 GHz Processor","12 GB RAM, 512 GB inbuilt",5240 mAh Battery with 90W Fast Charging,"6.36 inches, 1200 x 2670 px, 120 Hz Display with Punch Hole",50 MP + 50 MP + 50 MP Triple Rear & 32 MP Front Camera,xiaomi
Xiaomi Redmi Note 13 Pro 5G,"₹20,899",4.1,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster","Snapdragon 7s Gen 2, Octa Core, 2.4 GHz Processor","8 GB RAM, 128 GB inbuilt",5100 mAh Battery with 67W Fast Charging,"6.67 inches, 1220 x 2712 px, 120 Hz Display with Punch Hole",200 MP + 8 MP + 2 MP Triple Rear & 16 MP Front Camera,xiaomi
Xiaomi Redmi Note 15,"₹15,990",4.6,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster","Dimensity 6020, Octa Core, 2.2 GHz Processor","8 GB RAM, 128 GB inbuilt",5000 mAh Battery with 80W Fast Charging,"6.73 inches, 1080 x 2480 px, 120 Hz Display with Punch Hole",64 MP + 13 MP + 2 MP Triple Rear & 32 MP Front Camera,xiaomi
Xiaomi Redmi Note 13 Pro Plus (12GB RAM + 256GB),"₹26,999",4.75,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","Dimensity 7200 Ultra, Octa Core, 2.8 GHz Processor","12 GB RAM, 256 GB inbuilt",5000 mAh Battery with 120W Fast Charging,"6.67 inches, 1220 x 2712 px, 120 Hz Display with Punch Hole",200 MP + 8 MP + 2 MP Triple Rear & 16 MP Front Camera,xiaomi
Xiaomi Redmi Note 14 Pro Plus (12GB RAM + 512GB),"₹32,699",4.05,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","Snapdragon 7s Gen3, Octa Core, 2.5 GHz Processor","12 GB RAM, 512 GB inbuilt",6200 mAh Battery with 90W Fast Charging,"6.67 inches, 1220 x 2712 px, 120 Hz Display with Punch Hole",50 MP + 50 MP + 8 MP Triple Rear & 20 MP Front Camera,xiaomi
Xiaomi Redmi 14C 5G,"₹9,498",4.4,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Snapdragon 4 Gen2, Octa Core, 2.2 GHz Processor","4 GB RAM, 64 GB inbuilt",5160 mAh Battery with 18W Fast Charging,"6.88 inches, 720 x 1640 px, 120 Hz Display with Water Drop Notch",50 MP Dual Rear & 8 MP Front Camera,xiaomi
Xiaomi 16 Ultra,"₹1,19,990",4,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC, IR Blaster","Snapdragon 8 Elite 2, Octa Core Processor","16 GB RAM, 512 GB inbuilt",6000 mAh Battery with 120W Fast Charging,"6.85 inches, 1440 x 3200 px, 120 Hz Display with Punch Hole",200 MP Quad Rear & 32 MP Front Camera,xiaomi
Xiaomi Redmi Turbo 4,"₹23,990",4.75,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","Dimensity 8400 Ultra, Octa Core, 3.25 GHz Processor","12 GB RAM, 256 GB inbuilt",6550 mAh Battery with 90W Fast Charging,"6.67 inches, 1220 x 2712 px, 120 Hz Display with Punch Hole",50 MP + 8 MP Dual Rear & 20 MP Front Camera,xiaomi
Xiaomi 15 CIVI,"₹39,990",4.55,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC, IR Blaster","Snapdragon 8s Gen4, Octa Core, 3.2 GHz Processor","8 GB RAM, 256 GB inbuilt",5000 mAh Battery with 80W Fast Charging,"6.55 inches, 1236 x 2750 px, 120 Hz Display with Punch Hole",50 MP + 50 MP + 12 MP Triple Rear & 32 MP + 32 MP Dual Front Camera,xiaomi
Xiaomi Redmi A5 4G,"₹6,498",4.45,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi","Unisoc T7250, Octa Core, 1.8 GHz Processor","3 GB RAM, 64 GB inbuilt",5200 mAh Battery with 15W Fast Charging,"6.88 inches, 720 x 1650 px, 120 Hz Display with Water Drop Notch",32 MP Rear & 8 MP Front Camera,xiaomi
Xiaomi Redmi 14 5G,"₹14,999",4.75,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster","Snapdragon 4s Gen2, Octa Core Processor","8 GB RAM, 128 GB inbuilt",5000 mAh Battery with 44W Fast Charging,"6.82 inches, 1080 x 2460 px, 120 Hz Display with Punch Hole",108 MP + 2 MP Dual Rear & 16 MP Front Camera,xiaomi
Xiaomi 14 SE,"₹39,990",4.35,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","Snapdragon 8s Gen3, Octa Core, 3 GHz Processor","12 GB RAM, 256 GB inbuilt",4700 mAh Battery with 67W Fast Charging,"6.55 inches, 1236 x 2750 px, 120 Hz Display with Punch Hole",50 MP + 50 MP + 12 MP Triple Rear & 32 MP + 32 MP Dual Front Camera,xiaomi
Xiaomi Redmi A4 5G (6GB RAM + 128GB),"₹10,499",4.2,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Snapdragon 4s Gen2, Octa Core, 2 GHz Processor","6 GB RAM, 128 GB inbuilt",5160 mAh Battery with 18W Fast Charging,"6.88 inches, 720 x 1640 px, 120 Hz Display with Water Drop Notch",50 MP Dual Rear & 5 MP Front Camera,xiaomi
Xiaomi Redmi Note 15 Pro,"₹24,990",4.65,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","Dimensity 8020, Octa Core, 2.6 GHz Processor","8 GB RAM, 256 GB inbuilt",5000 mAh Battery with 150W Fast Charging,"6.74 inches, 1080 x 2400 px, 165 Hz Display with Punch Hole",108 MP + 8 MP + 2 MP Triple Rear & 32 MP Front Camera,xiaomi
Xiaomi Redmi Note 14 (8GB RAM + 128GB),"₹17,999",4.75,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","Dimensity 7025 Ultra, Octa Core, 2.5 GHz Processor","8 GB RAM, 128 GB inbuilt",5110 mAh Battery with 45W Fast Charging,"6.67 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole",50 MP + 8 MP + 2 MP Triple Rear & 20 MP Front Camera,xiaomi
Xiaomi Redmi Note 14 Pro Plus (8GB RAM + 256GB),"₹28,715",4.15,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","Snapdragon 7s Gen3, Octa Core, 2.5 GHz Processor","8 GB RAM, 256 GB inbuilt",6200 mAh Battery with 90W Fast Charging,"6.67 inches, 1220 x 2712 px, 120 Hz Display with Punch Hole",50 MP + 50 MP + 8 MP Triple Rear & 20 MP Front Camera,xiaomi
Xiaomi Redmi 13 5G (8GB RAM + 128GB),"₹13,499",4.75,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster","Snapdragon 4 Gen 2 AE, Octa Core, 2.3 GHz Processor","8 GB RAM, 128 GB inbuilt",5030 mAh Battery with 33W Fast Charging,"6.79 inches, 1080 x 2460 px, 120 Hz Display with Punch Hole",108 MP + Macro Dual Rear & 13 MP Front Camera,xiaomi
Xiaomi Redmi Turbo 5,"₹34,990",4.45,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","Dimensity 8500 Ultra, Octa Core Processor","12 GB RAM, 256 GB inbuilt",6880 mAh Battery with 100W Fast Charging,"6.7 inches, 1220 x 2712 px, 120 Hz Display with Punch Hole",50 MP + 50 MP Dual Rear & 32 MP Front Camera,xiaomi
Xiaomi 15S Pro,"₹66,990",4,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","Xring O1, Deca Core, 3.9 GHz Processor","16 GB RAM, 512 GB inbuilt",6100 mAh Battery with 90W Fast Charging,"6.73 inches, 1440 x 3200 px, 120 Hz Display with Punch Hole",50 MP + 50 MP + 50 MP Triple Rear & 32 MP Front Camera,xiaomi
Xiaomi Redmi A4 5G (4GB RAM + 128GB),"₹9,499",4.35,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Snapdragon 4s Gen2, Octa Core, 2 GHz Processor","4 GB RAM, 128 GB inbuilt",5160 mAh Battery with 18W Fast Charging,"6.88 inches, 720 x 1640 px, 120 Hz Display with Water Drop Notch",50 MP Dual Rear & 5 MP Front Camera,xiaomi
